objectid,park_name,site_number,table_count,comments,data_source,lat,lng
267,Wissahickon Valley Park,0,4,Located next to Valley Green Inn,Pictometry 2020,40.05436879212199,-75.21823817098911
268,Wissahickon Valley Park,0,3,"Located at Monastery Stables; Non-fixed tables.",Pictometry 2020,40.03664430023603,-75.20447716546917
269,Glen Foerd on the Delaware,0,3,Located to the north of the Carriage House and Water Tower,Pictometry 2020,40.05312450998247,-74.98024078690742
270,Pennypack Park,0,2,"Located at the Pegasus Riding Academy; Non-Fixed tables",Pictometry 2020,40.06685601277311,-75.05049805370749
271,Pennypack Park,0,1,"Solly Stables Campus Location; Non-Fixed tables",Pictometry 2020,40.07280953551572,-75.068768482581
272,Verree and Susquehanna Playground,0,1,Fixed table underneath the tree.,"2020 Pictometry, 2020 Street Smart",40.08049267107942,-75.06752123148712
273,Pennypack Park,0,1,"Non-Fixed Table next to fire pit, just south of the Pine Road Picnic Shelter",Pictometry 2020,40.08819621495269,-75.06772356010929
274,Pennypack Park,0,5,Mix of Fixed and Non-Fixed Tables at the Pine Road Trailhead Parking Lot,Pictometry 2020,40.08970264618895,-75.06884762397621
275,Burholme Park,0,5,Fixed tables around the playgrounds,NearMap 2021,40.068975498339256,-75.09009568927094
276,Fox Chase Farm,0,25,"Non-Fixed Tables related to Fox Chase Farm , may not be publicly accessible.",NearMap 2020,40.09026947779425,-75.07488325375098
277,Fox Chase Farm,0,5,"Non-Fixed Tables related to Fox Chase Farm , may not be publicly accessible. Behind the Manor House",NearMap 2020,40.09077794982589,-75.07392205610013
278,Ann P Nichols Park,0,2,Non-Fixed Tables,NearMap 2020,39.963598207946966,-75.22953292455273
279,John J McCreesh Sr Playground,0,4,Renovated during 2020 Site Upgrades. Mix of fix and non-fixed tables.,Capital and Communications 2020,39.92563194125308,-75.24067052285373
280,Gold Star Park,0,2,"2 fixed tables (1 standard, 1 ADA)",Capital and Communications Info 2020,39.93288925219609,-75.15507856640177
281,Historic Rittenhouse Town,0,7,7 Non-Fixed Tables located near Rittenhouse Building 211.,NearMap2020/Pictometry 2020,40.029063857042644,-75.1919757396993
282,Hancock Playground,0,2,Rebuild Site Renovations in 2020. Fixed Tables.,"Capital 2021, NearMap 2020",39.972402636827866,-75.13721954001427
283,Hancock Playground,0,3,Rebuild Site Renovations in 2020. Fixed Tables.,"Capital 2021, NearMap 2020",39.97275948992646,-75.13740113522518
284,Miles Mack Playground,,5,5 fixed tables installed in 2021,NearMap2021,39.96720099145039,-75.19608747998157
285,8th and Diamond Playground,,5,"2 fixed picnic tables, 3 smaller game tables; Installed 2020-2021 (Rebuild)","Capital Drawings 2021;NearMap 2021",39.983322855407785,-75.14727771322544
286,Fox Chase Farm,0,4,"Non-Fixed Tables related to Fox Chase Farm , may not be publicly accessible.",NearMap 2021,40.09038301738696,-75.0739650088454
287,Fisher Park,0,3,Non-fixed tables,NearMap 2021,40.04355188239663,-75.13068801399726
288,Carmella DiTizio Playground,0,5,,NearMap 2021,40.01115904471476,-75.07319581281239
289,Dr Martin Luther King Jr Recreation Center,0,3,,NearMap 2021,39.98033904128274,-75.16941869777541
290,Columbus Square,,6,,NearMap 2021,39.93295916166709,-75.16439459567347
291,Jacob Stinger Park,,3,,NearMap 2021,39.93598531885194,-75.19822121861516
292,Marie Dendy Recreation Center,,2,,NearMap 2021,39.975206664569725,-75.1511344715391
293,Benson Park,,4,,NearMap 2021,39.97356853967676,-75.14311564243437
294,Von Colln Field,,4,,NearMap 2021,39.9638095262565,-75.1762185897108
295,Carousel House Recreation Center,0,3,Non-fixed tables,NearMap 2021,39.97854638133063,-75.21283372236523
296,Woodside Park,0,1,,NearMap 2021,40.00221773313201,-75.20834962170377
297,Carousel House Recreation Center,0,2,Non-fixed tables,NearMap 2021,39.97948895751866,-75.21359774315334
298,Jacob Stinger Park,0,2,,NearMap 2021,39.93648029150554,-75.19776051744236
299,East Fairmount Park,0,1,Along Schuylkill River Trail and Kelly Drive ,NearMap 2021,39.9901721509558,-75.19739842112261
141,West Fairmount Park,4,3,Martin Luther King Drive Stone Picnic Pavilion Area,"2020 Street Smart, Pictometry 2020",40.002182869894966,-75.19307362692656
142,West Fairmount Park,5,3,Martin Luther King Drive Stone Picnic Pavilion Area,"2020 Street Smart, Pictometry 2020",40.00252052329987,-75.1930639772177
143,West Fairmount Park,3,3,West Fairmount Park-North Georges Hill Picnic Pavilion Area,NearMap 2021,39.987581507287466,-75.22228062652471
144,West Fairmount Park,0,1,N of Boelson Cottage,"2018 Street Smart, Pictometry 2020",39.99303066948801,-75.19795386996807
145,West Fairmount Park,0,1,N of Boelson Cottage,"2018 Street Smart, Pictometry 2020",39.99260511995081,-75.19835341890268
146,West Fairmount Park,0,1,West Fairmount Park-S of Belmont & Edgley Cricket Fields,2018 Street Smart,39.99420443176856,-75.21324437933607
147,29th and Chalmers Playground,0,7,Van R. Thomas Memorial Picnic Area,"2018 NaturePHL, Pictometry 2020",39.99853983530233,-75.17909126381304
148,45th and Sansom Tot Lot,0,1,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.95613236483964,-75.21186566675561
149,48th and Woodland Playground,0,2,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.94139445195178,-75.21033149077591
150,48th and Woodland Playground,0,2,,Pictometry 2020,39.94230515992853,-75.2101886105218
151,Allens Lane Art Center,0,2,,Pictometry 2020,40.051698173372664,-75.20259624614481
152,Allens Lane Art Center,0,3,,Pictometry 2020,40.05125895528876,-75.20333349878092
153,Fletcher B Amos Playground,0,4,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.982052008962995,-75.16006672717191
154,Athletic Recreation Center,0,3,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.97814632950558,-75.17857874149354
155,Giuseppe Bardascino Park,0,3,,"2020 Street Smart, NearMap 2021",39.937835946705945,-75.15992258526403
156,Campbell Square,0,2,,"2018 NaturePHL, NearMap2021",39.98578983432325,-75.10362311523426
157,Campbell Square,0,2,,"2018 NaturePHL, NearMap2021",39.98598555815984,-75.10361269932022
