objectid,park_name,site_number,table_count,comments,data_source,lat,lng
139,Cobbs Creek Park,5,3,N of Haverford Ave,"2018 Street Smart, Pictometry 2020",39.97371194092225,-75.25698097082743
140,East Fairmount Park,9,3,South to Sedgley Porter's House,"Pictometry 2020, 2017 Field Collection",39.973488539242794,-75.18801467730697
29,Wissahickon Valley Park,2,2,"N of Wises Mill Rd, along Forbidden Drive.",2017 Field Collection,40.05887518223775,-75.2204400102079
30,Wissahickon Valley Park,0,2,N of Rex Avenue Shelter,"2017 Field Collection, Pictometry 2020",40.06640700959495,-75.22068723549285
31,Wissahickon Valley Park,0,1,S of Thomas Mill Road Comfort Station,2020 Aerials,40.071299073198034,-75.22462052314825
32,Wissahickon Valley Park,0,1,N of Thomas Mill Dr,2017 Field Collection,40.07308389503201,-75.22474199642845
33,Wissahickon Valley Park,2,4,Wissahickon Valley Park-Northwestern Stables,"2017 Field Collection, Pictometry 2020",40.08432886867368,-75.22931437195915
34,Wissahickon Valley Park,3,4,Wissahickon Valley Park-Northwestern Stables,"2017 Field Collection, Pictometry 2020",40.08415883535595,-75.22974279478613
35,Wissahickon Valley Park,1,3,Wissahickon Valley Park-Northwestern Stables,"2017 Field Collection, Pictometry 2020",40.08479947488104,-75.22985987242285
36,Wissahickon Valley Park,0,4,Wigard Avenue House,"2018 Street Smart, Pictometry 2020",40.053618917587826,-75.22503270264143
37,Wisters Woods Park,1,3,,"2018 Street Smart, Pictometry 2020",40.03181079423645,-75.1547728551995
38,Wisters Woods Park,2,3,,"2018 Street Smart, Pictometry 2020",40.032412198414974,-75.15539755364607
39,Wisters Woods Park,3,2,,"2018 Street Smart, Pictometry 2020",40.0333678629584,-75.15548273859652
40,Awbury Park and Recreation Center,2,2,,"2017 Field Collection, Pictometry 2020",40.052273579371544,-75.16355586368645
41,Awbury Park and Recreation Center,3,2,,"2018 Street Smart, Pictometry 2020",40.05230547308364,-75.1632760768893
42,Awbury Park and Recreation Center,1,3,,"2017 Field Collection, Pictometry 2020",40.05195066709723,-75.16317105147027
43,Fisher Park,1,5,Non-fixed tables,NearMap 2021,40.04303997508602,-75.13087768849634
44,Fisher Park,2,3,,Pictometry 2020,40.04293545238396,-75.13109083060577
45,Burholme Park,2,5,Non-fixed tables,NearMap 2021,40.06918721559774,-75.08927609238786
46,Burholme Park,3,1,Non-fixed tables,NearMap 2021,40.06947091151838,-75.08969439958518
47,Burholme Park,1,10,,"2017 Field Collection; Pictometry 2020",40.067057188474784,-75.089218232259
48,Burholme Park,4,3,Non-fixed tables,"2017 Field Collection; NearMap 2021",40.06970296969792,-75.09126915993053
49,Burholme Park,5,3,Non-fixed tables,"2017 Field Collection; NearMap 2021",40.06994807740324,-75.09186542356686
50,Hunting Park,6,5,Numbered site both sides of walkway,"2020 StreetSmart; NearMap 2021",40.01699415377401,-75.14353890747485
51,Hunting Park,0,3,Near the baseball field,"2020 StreetSmart; NearMap 2021",40.01711450586271,-75.14331243179754
52,Hunting Park,2,3,,"2018 Street Smart, Pictometry 2020",40.0169390781613,-75.1450887924268
53,Hunting Park,3,2,,"2018 Street Smart, Pictometry 2020",40.017294609763965,-75.14578182034188
54,Hunting Park ,1,5,Hunting Park Picnic Pavilion,"2018 Street Smart, Pictometry 2020",40.015620422734564,-75.1445757954438
55,Hunting Park,4,2,,"2018 Street Smart, Pictometry 2020",40.01584366282817,-75.14288158894936
56,West Fairmount Park,1,2,Next to Kelly Pool,"2020 Street Smart, Pictometry 2020",39.97915676061185,-75.20719967174932
57,West Fairmount Park,0,1,Next to Cedar Grove,"2018 Street Smart, Pictometry 2020",39.97892371311944,-75.20456535819245
58,Cobbs Creek Park,1,3,Close to Blue Bell Tavern,"2018 Street Smart, Pictometry 2020",39.91749080027702,-75.2461454624268
170,Rainbow De Colores Playground,0,2,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.98679562601218,-75.14154365021007
171,Rainbow De Colores Playground,0,1,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.98695212869186,-75.14187389957593
172,John Dickinson Square,0,3,,"2018 NaturePHL, 2016 Google Map, Pictometry 2020",39.92778632154709,-75.15187733306979
173,East Poplar Playground,0,2,,"2018 NaturePHL, NearMap2021",39.96663508406296,-75.15126939698875
174,Fishtown Recreation Center,0,5,,"2020 StreetSmart;NearMap 2021",39.972016162861344,-75.12778409877778
175,Eileen Fitzpatrick Playground,0,1,,NearMap 2021,40.096313094428375,-74.97186416770417
176,Ford Road Playground,0,2,1 table on path and 1 table under the gazebo.,2020 Street Smart and 2020 NearMap,39.999433554191434,-75.20642556401297
177,Fort Mifflin,0,16,,Pictometry 2020,39.875169025001384,-75.2114557603636
178,Fox Chase Recreation Center,0,5,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",40.07417290905007,-75.08250337946154
179,Frankford and Solly Playground,0,1,,"2018 NaturePHL, Pictometry 2020",40.043988169299716,-75.02094784554629
180,Franklin Square,0,6,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.95543677941933,-75.15078549744224
181,Franklin Square,0,5,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.955932706230726,-75.1510492883223
182,Susan Gorgas Park,0,1,,"2020 StreetSmart;NearMap 2021",40.036944108060126,-75.22049410337637
183,Thomas I Guerin Recreation Center,0,3,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.92335470275951,-75.17280860289549
184,Eric W (Hank) Gathers Jr Recreation Center,0,3,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.98742698720379,-75.1758189156207
185,Eric W (Hank) Gathers Jr Recreation Center,0,2,,"2018 NaturePHL, Pictometry 2020",39.987590754937834,-75.1747983477085
186,Hawthorne Cultural Center,0,4,,"2018 NaturePHL, 2018 Street Smart",39.93848295450207,-75.16363641435568
187,Nelson M Herron Playground and Recreation Center,0,5,,NearMap 2021,39.930583778938015,-75.14847690843379
188,Horton Street Play Lot,0,2,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.96626884446822,-75.24323772574834
189,Inn Yard Park,0,1,,"Pictometry 2020, 2018 NaturePHL, 2018 Street Smart",40.009217707747474,-75.19507898623742
190,Kingsessing Recreation Center,0,1,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.94185807426277,-75.21732708862595
191,Lardners Point Park,0,2,,"2018 NaturePHL, Pictometry 2020",40.01422427501639,-75.04784659605305
192,Lardners Point Park,0,2,,"2018 NaturePHL, Pictometry 2020",40.01419736650236,-75.04759466492516
193,Lardners Point Park,0,2,,"2018 NaturePHL, Pictometry 2020",40.01470715601889,-75.04648421716699
194,John A Lee Cultural Center,0,3,,NearMap 2021,39.96224879697709,-75.2102763091137
195,Louis I Kahn Park,0,4,Fixed tables,"2020 StreetSmart; 2021 NearMap",39.945111343621896,-75.15998838934148
196,Lovett Park,0,9,,NearMap 2021,40.05635513696187,-75.18762968150752
197,Lovett Park,0,4,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",40.05684663124368,-75.18783836365287
198,Malcolm X Memorial Park,0,1,Fixed Table,"2020 Street Smart, Pictometry 2020",39.9530552227429,-75.22555909667396
199,Mantua Community Garden,0,2,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.9635481618656,-75.19185431114151
200,Mario Lanza Park,0,2,Non-fixed picnic tables.,NearMap 2021,39.93733007584737,-75.14727912319142
201,Dr Martin Luther King Jr Recreation Center,0,2,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.980564920883374,-75.16980106535092
202,Max Myers Playground,0,3,,Pictometry 2020,40.03933514017071,-75.07123978228665
203,Mifflin Square,0,3,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.918984165950846,-75.15670966626399
204,Mount Airy Playground,0,2,,"2018 NaturePHL, Pictometry 2020",40.0576814926327,-75.18833466719204
205,Mount Airy Playground,0,2,,"2018 NaturePHL, Pictometry 2020",40.0575971990891,-75.1876291462282
206,Mount Airy Playground,0,1,,"2018 NaturePHL, Pictometry 2020",40.05766602969325,-75.18802178776397
207,Fish Hatchery at Pleasant Hill Park,0,2,,"2018 NaturePHL, Pictometry 2020",40.0427638499947,-74.99314760888538
208,Fish Hatchery at Pleasant Hill Park,0,4,,"2018 NaturePHL, Pictometry 2020",40.04314924920451,-74.99300415106269
